# {'f_': [4, 7], 'mu_': [13, 13], 'n': 1132, 'N': 4, 'M': 4, 'mu': [12, 12], 'x': [8, 11], 'f': [0, 3]}
2,0.923,0.070,0.738,0.593,0.943,0.071,0.757,0.360,0.923,0.070,0.738,0.593,0.189,0.216
970,0.402,0.029,0.794,0.808,0.411,0.029,0.814,0.611,0.402,0.029,0.794,0.808,0.187,0.238
612,0.075,0.930,0.656,0.661,0.076,0.937,0.673,0.440,0.075,0.930,0.656,0.661,0.183,0.213
951,0.082,0.854,0.630,0.718,0.083,0.860,0.647,0.505,0.082,0.854,0.630,0.718,0.183,0.235
625,0.095,0.129,0.779,0.850,0.097,0.130,0.799,0.661,0.095,0.129,0.779,0.850,0.177,0.252
707,0.085,0.855,0.624,0.719,0.087,0.862,0.640,0.507,0.085,0.855,0.624,0.719,0.174,0.224
312,0.874,0.864,0.230,0.500,0.893,0.870,0.236,0.250,0.874,0.864,0.230,0.500,0.172,0.261
878,0.809,0.164,0.044,0.879,0.827,0.165,0.045,0.695,0.809,0.164,0.044,0.879,0.171,0.219
244,0.824,0.954,0.832,0.435,0.842,0.961,0.853,0.175,0.824,0.954,0.832,0.435,0.171,0.217
179,0.049,0.803,0.199,0.898,0.050,0.809,0.204,0.717,0.049,0.803,0.199,0.898,0.169,0.223
259,0.890,0.021,0.603,0.680,0.909,0.021,0.618,0.462,0.890,0.021,0.603,0.680,0.165,0.185
741,0.900,0.337,0.816,0.518,0.919,0.340,0.837,0.272,0.900,0.337,0.816,0.518,0.163,0.252
523,0.188,0.876,0.887,0.557,0.192,0.883,0.910,0.317,0.188,0.876,0.887,0.557,0.163,0.227
42,0.922,0.002,0.619,0.671,0.942,0.002,0.635,0.451,0.922,0.002,0.619,0.671,0.157,0.167
1068,0.360,0.013,0.732,0.852,0.368,0.013,0.751,0.663,0.360,0.013,0.732,0.852,0.154,0.209
159,0.941,0.809,0.773,0.466,0.961,0.815,0.793,0.210,0.941,0.809,0.773,0.466,0.153,0.204
589,0.177,0.042,0.762,0.859,0.181,0.042,0.781,0.671,0.177,0.042,0.762,0.859,0.153,0.207
36,0.061,0.114,0.755,0.864,0.062,0.114,0.775,0.676,0.061,0.114,0.755,0.864,0.153,0.214
1008,0.379,0.013,0.034,0.979,0.387,0.013,0.035,0.812,0.379,0.013,0.034,0.979,0.151,0.188
566,0.016,0.799,0.239,0.908,0.016,0.805,0.245,0.728,0.016,0.799,0.239,0.908,0.149,0.189
432,0.201,0.017,0.684,0.913,0.205,0.017,0.702,0.734,0.201,0.017,0.684,0.913,0.149,0.208
791,0.837,0.800,0.848,0.509,0.856,0.806,0.870,0.261,0.837,0.800,0.848,0.509,0.148,0.244
130,0.888,0.441,0.695,0.599,0.907,0.444,0.714,0.367,0.888,0.441,0.695,0.599,0.148,0.274
992,0.925,0.928,0.665,0.374,0.945,0.935,0.683,0.103,0.925,0.928,0.665,0.374,0.148,0.175
175,0.832,0.798,0.764,0.563,0.850,0.804,0.784,0.324,0.832,0.798,0.764,0.563,0.147,0.279
810,0.005,0.435,0.844,0.791,0.005,0.438,0.866,0.591,0.005,0.435,0.844,0.791,0.146,0.170
98,0.176,0.819,0.092,0.856,0.180,0.825,0.094,0.668,0.176,0.819,0.092,0.856,0.146,0.199
1067,0.329,0.905,0.752,0.556,0.336,0.912,0.772,0.316,0.329,0.905,0.752,0.556,0.145,0.243
99,0.848,0.172,0.883,0.605,0.866,0.173,0.906,0.373,0.848,0.172,0.883,0.605,0.144,0.197
959,0.391,0.061,0.805,0.804,0.400,0.062,0.826,0.607,0.391,0.061,0.805,0.804,0.144,0.188
814,0.899,0.316,0.032,0.704,0.919,0.318,0.032,0.489,0.899,0.316,0.032,0.704,0.143,0.161
781,0.065,0.838,0.126,0.811,0.066,0.845,0.129,0.614,0.065,0.838,0.126,0.811,0.142,0.182
543,0.783,0.894,0.716,0.533,0.800,0.901,0.734,0.289,0.783,0.894,0.716,0.533,0.142,0.232
897,0.246,0.064,0.774,0.846,0.251,0.065,0.794,0.656,0.246,0.064,0.774,0.846,0.142,0.194
514,0.363,0.902,0.716,0.577,0.370,0.909,0.735,0.341,0.363,0.902,0.716,0.577,0.141,0.247
721,0.343,0.085,0.796,0.816,0.350,0.085,0.817,0.621,0.343,0.085,0.796,0.816,0.140,0.191
181,0.017,0.433,0.771,0.823,0.017,0.436,0.791,0.629,0.017,0.433,0.771,0.823,0.139,0.180
173,0.001,0.284,0.868,0.806,0.001,0.286,0.891,0.609,0.001,0.284,0.868,0.806,0.139,0.156
1086,0.867,0.325,0.056,0.734,0.886,0.327,0.057,0.525,0.867,0.325,0.056,0.734,0.139,0.168
308,0.910,0.306,0.714,0.589,0.930,0.308,0.732,0.355,0.910,0.306,0.714,0.589,0.138,0.223
845,0.173,0.793,0.759,0.768,0.177,0.799,0.779,0.565,0.173,0.793,0.759,0.768,0.138,0.222
1123,0.794,0.884,0.670,0.548,0.812,0.891,0.687,0.307,0.794,0.884,0.670,0.548,0.138,0.236
135,0.381,0.097,0.772,0.826,0.389,0.097,0.792,0.632,0.381,0.097,0.772,0.826,0.138,0.198
710,0.898,0.114,0.848,0.532,0.918,0.115,0.870,0.288,0.898,0.114,0.848,0.532,0.138,0.171
849,0.869,0.322,0.052,0.732,0.888,0.324,0.053,0.522,0.869,0.322,0.052,0.732,0.137,0.164
483,0.036,0.870,0.121,0.748,0.037,0.877,0.124,0.541,0.036,0.870,0.121,0.748,0.136,0.162
